decade,genres,count
1900s,cumbia ranchera,1
1920s,tango,1378
1920s,vintage tango,1378
1920s,orquesta tipica,212
1920s,vintage jazz,126
1920s,big band,93
1920s,swing,93
1920s,classical,85
1920s,stride,77
1920s,tin pan alley,73
1920s,harlem renaissance,67
1920s,jazz piano,67
1920s,ragtime,67
1920s,classical performance,55
1920s,german orchestra,46
1920s,orchestra,46
1920s,late romantic era,37
1920s,dixieland,34
1920s,german romanticism,30
1920s,early romantic era,27
1920s,arab folk,26
1920s,belly dance,26
1920s,classic arab pop,26
1920s,classical tenor,24
1920s,classical era,23
1920s,post-romantic era,23
1920s,italian tenor,22
1920s,italian opera,20
1920s,italian romanticism,20
1920s,jug band,20
1920s,reading,20
1920s,pre-war blues,19
1920s,traditional blues,17
1920s,early modern classical,15
1920s,german opera,14
1920s,early music,13
1920s,country blues,12
1920s,deep delta blues,12
1920s,historic classical performance,12
1920s,operetta,11
1920s,jazz trumpet,10
1920s,piedmont blues,10
1920s,polish classical,10
1920s,classical piano,9
1920s,latin american classical piano,9
1920s,orchestral performance,9
1920s,tango cancion,9
1920s,historic orchestral performance,8
1920s,vintage schlager,6
1920s,baroque,5
1920s,czech classical,5
1920s,german baroque,5
1920s,boogie-woogie,4
1920s,children's choir,4
1920s,german choir,4
1920s,harmonica blues,4
1920s,louisiana blues,4
1920s,new orleans blues,4
1920s,new orleans jazz,4
1920s,canzone napoletana,3
1920s,appalachian folk,2
1920s,comedy,2
1920s,comic,2
1920s,french romanticism,2
1920s,memphis blues,2
1920s,musica tradicional cubana,2
1920s,new comedy,2
1920s,son cubano,2
1920s,son cubano clasico,2
1920s,vintage country folk,2
1920s,vintage spanish pop,2
1920s,washboard,2
1920s,western swing,2
1920s,classical organ,1
1920s,french opera,1
1920s,italian baritone,1
1920s,italian baroque,1
1920s,music hall,1
1920s,portland hip hop,1
1920s,russian choir,1
1920s,russian folk,1
1920s,russian romanticism,1
1920s,turkish classical,1
1920s,turkish jazz,1
1920s,vintage classical singing,1
1920s,vintage old-time,1
1930s,tango,1015
1930s,vintage tango,937
1930s,rebetiko,226
1930s,classical,200
1930s,orquesta tipica,199
1930s,classic bollywood,172
1930s,big band,154
1930s,swing,149
1930s,stride,140
1930s,vocal jazz,131
1930s,adult standards,127
1930s,lounge,126
1930s,arab folk,125
1930s,classic arab pop,125
1930s,belly dance,113
1930s,romanian rock,113
1930s,classical performance,109
1930s,filmi,102
1930s,orchestra,95
1930s,post-romantic era,86
1930s,movie tunes,81
1930s,late romantic era,77
1930s,latin classical,77
1930s,german romanticism,75
1930s,ghazal,75
1930s,historic orchestral performance,70
1930s,appalachian folk,68
1930s,traditional folk,68
1930s,traditional blues,66
1930s,country blues,65
1930s,italian romanticism,65
1930s,nueva cancion,64
1930s,acoustic blues,63
1930s,blues,63
1930s,italian opera,63
1930s,delta blues,61
1930s,folk,61
1930s,texas blues,61
1930s,orchestral performance,60
1930s,classic soundtrack,59
1930s,italian orchestra,55
1930s,opera,55
1930s,carnatic,54
1930s,vintage jazz,49
1930s,jazz trombone,48
1930s,classical guitar,47
1930s,easy listening,46
1930s,historic classical performance,41
1930s,torch song,40
1930s,early romantic era,39
1930s,muzica populara,39
1930s,classic colombian pop,38
1930s,german orchestra,37
1930s,indian classical,36
1930s,classical era,33
1930s,classical bass,32
1930s,classical contralto,32
1930s,sufi,32
1930s,vintage classical singing,32
1930s,calypso,31
1930s,merengue,31
1930s,violin,31
1930s,bouzouki,28
1930s,dixieland,28
1930s,greek indie,28
1930s,guitarra clasica,28
1930s,french classical piano,27
1930s,hollywood,27
1930s,copla,24
1930s,early modern classical,23
1930s,harlem renaissance,23
1930s,jazz,23
1930s,swedish alternative rock,23
1930s,cool jazz,22
1930s,classic tollywood,21
1930s,jazz piano,21
1930s,african-american classical,20
1930s,hindustani vocal,20
1930s,velha guarda,20
1930s,british orchestra,19
1930s,desi pop,19
1930s,musica tradicional cubana,19
1930s,son cubano,19
1930s,son cubano clasico,19
1930s,disney,18
1930s,french soundtrack,18
1930s,turkish classical,18
1930s,turkish jazz,18
1930s,carnatic vocal,16
1930s,cumbia ecuatoriana,16
1930s,folklore ecuatoriano,16
1930s,jazz clarinet,16
1930s,swing italiano,16
1930s,vintage italian pop,16
1930s,drama,15
1930s,greek clarinet,15
1930s,rabindra sangeet,15
1930s,vintage radio show,15
1930s,vocal harmony group,15
1930s,classical piano,14
1930s,sertanejo tradicional,14
1930s,classic pakistani pop,13
1930s,impressionism,13
1930s,barrelhouse piano,12
1930s,laiko,12
1930s,vintage hollywood,12
1930s,latin american classical piano,11
1930s,mexican classical,11
1930s,american romanticism,10
1930s,baroque,10
1930s,concert band,10
1930s,hindustani classical,10
1930s,jug band,10
1930s,marching band,10
1930s,pakistani pop,10
1930s,russian romanticism,10
1930s,american orchestra,9
1930s,entehno,9
1930s,french romanticism,9
1930s,german baroque,9
1930s,german opera,9
1930s,samba,9
1930s,classical cello,8
1930s,classical soprano,8
1930s,classical tenor,8
1930s,compositional ambient,8
1930s,early music,8
1930s,german choir,8
1930s,viola,8
1930s,german classical piano,7
1930s,polish classical,7
1930s,austrian orchestra,6
1930s,boogie-woogie,6
1930s,chill guitar,6
1930s,hungarian folk,6
1930s,magyar alternative,6
1930s,nagpuri pop,6
1930s,neoclassicism,6
1930s,oud,6
1930s,syrian pop,6
1930s,tango cancion,6
1930s,vintage swing,6
1930s,washboard,6
1930s,choro,5
1930s,operetta,5
1930s,oratory,5
1930s,piano blues,5
1930s,piedmont blues,5
1930s,pre-war blues,5
